,,,,valence,valence,arousal,arousal,valence,valence,arousal,arousal,valence,valence,arousal,arousal,,,,,Lexical ,Lexical,,,,,,
French,English,Picture,Picture,all,all,all,all,male,male,male,male,female,female,female,female,Number,Number,Number,Grammatical,Frequency,Frequency ,Imageability,Bonin,Gilet,Niedenthal,Ric,Syssau
Words,Translation,Source,Number,Mean,ET,Mean,ET,Mean,ET,Mean ,ET,Mean ,ET,Mean ,ET,of letters,of phonems,of syllables,Class,in films,in books,Mean,et al. (2003),et al. (2012),et al. (2004),et al. (2013),& Font (2005)
abeille,bee,AF,23,4.22,2.50,4.08,2.88,4.75,2.79,5.00,3.29,3.80,2.21,3.35,2.35,7,4,2,NOUN,3.53,3.18,6.84,1,,,,1
abonné,suscriber,,,4.53,1.77,4.25,2.01,4.50,2.11,4.33,2.77,4.54,1.71,4.23,1.86,6,5,3,NOUN,0.30,0.34,2.63,,,,,1
abricot,apricot,,,6.55,1.64,3.60,1.83,6.00,1.00,3.67,2.24,6.62,1.70,3.59,1.79,7,6,3,NOUN,0.50,1.15,6.51,1,,,,1
absent,absent,,,3.42,1.81,4.19,2.34,4.75,0.71,2.88,2.30,3.27,1.84,4.34,2.32,6,4,2,NOUN,0.82,2.16,,,,,,1
abstrait,abstract,,,4.72,1.59,3.86,2.20,5.42,1.98,4.75,2.86,4.59,1.49,3.69,2.05,8,6,2,ADJ,0.61,3.85,,,,,,1
accordéon,accordion,,,5.70,1.89,4.35,2.50,5.22,1.86,5.44,2.40,5.76,1.89,4.21,2.49,9,7,4,NOUN,3.02,4.80,6.35,1,,,,1
acide,acidic,,,3.47,1.95,5.47,2.45,4.38,1.77,5.25,2.55,3.37,1.95,5.49,2.45,5,4,2,ADJ,1.86,6.89,4.20,,,,,1
agneau,lamb,AF,362,6.35,2.00,3.51,2.14,6.47,1.84,3.47,2.03,6.25,2.17,3.55,2.28,6,3,2,NOUN,13.01,5.95,6.60,1,,,,
agréable,pleasurable,,,8.29,1.26,5.04,2.86,8.00,1.28,5.00,2.95,8.34,1.25,5.05,2.86,8,7,3,ADJ,37.71,31.35,,,1,,1,1
aide,help,,,7.08,1.61,4.81,2.57,7.18,2.07,5.00,2.85,7.00,1.12,4.65,2.37,4,2,1,NOUN,171.41,52.30,2.95,,,,,
aigle,eagle,AF,82,6.53,1.96,5.03,2.61,6.59,2.03,4.76,2.66,6.48,1.94,5.24,2.62,5,3,1,NOUN,5.50,7.91,6.77,1,,,,1
aiguille,needle,AF,154,3.90,1.76,4.34,2.73,4.28,1.96,4.78,2.67,3.69,1.64,4.09,2.77,8,5,2,NOUN,10.40,18.38,6.53,1,,,,1
ail ,garlic,B,4,4.22,2.08,3.68,2.45,4.88,1.69,3.47,2.62,3.65,2.25,3.85,2.35,3,2,1,NOUN,9.14,7.97,6.34,1,,,,1
aile ,wing,B,5,6.05,1.86,4.41,2.77,5.82,1.63,3.59,2.74,6.25,2.05,5.10,2.67,4,2,1,NOUN,15.00,20.47,6.32,1,,,,
aisance,ease,,,7.26,1.45,3.25,2.19,7.33,1.22,3.00,2.00,7.25,1.49,3.28,2.22,7,4,2,NOUN,1.44,15.20,2.39,,,,,1
album,album,,,6.34,1.50,4.34,2.30,5.75,1.49,2.63,1.85,6.41,1.50,4.54,2.27,5,5,2,NOUN,9.36,13.31,5.63,,,,,1
alcool,alcohol,,,5.64,2.71,5.60,2.87,6.44,2.31,6.33,2.57,5.19,2.84,5.19,2.99,6,5,2,NOUN,40.29,39.73,5.99,,,,,1
algèbre,algebra,,,3.87,2.19,4.54,2.61,3.92,1.83,3.92,2.61,3.86,2.26,4.65,2.62,7,6,2,NOUN,1.37,2.03,4.02,,,,,1
